Terrible Movie for Dictator Propaganda	Lulea	This shameful movie is about how government of Turkey is run by idealist. Which in fact is a murderer and a dictator. They not only change real events to their fantasy world conditions, they also used deceased engineers for their own propaganda.This movie is 2015 edition of Triumph of Will by Nazi Germany. I hope everybody will remember terrible people involved with this movie and cast them out from society. P.S. Did you know this movie is screened for free to the audiences by government with tax payers money? Shame on anybody who watches this crap.	1
If you want to make propaganda, at least make a good one	Turkey	A really horrible film which only aims to increase support for the idiotic things the government did and will do. It implies that almost every bad event happened in the past 10-15 years is because of a terrorist organization which works together with CIA, Mossad etc. It is so idiotic that it shows the gezi protests like something that was controlled behind a screen by the same organization (which clearly doesn&#x27;t exist) What can I say, if you are stupid enough to believe these things (unfortunately many people are) you may like the film but that doesn&#x27;t change the fact that it&#x27;s a poorly written and pathetically directed propaganda and a decent director could do something better while he&#x27;s in the toilet.	1
This so-called movie is a propaganda !	United States	Shame on the directors, the purpose of this so-called movie is clearly politically motivated. The intention smells very bad a political propaganda reminding Goebbels. The movie presents the main non-fictional character Erdogan as a victim of a corruption case. North-Korea propaganda style. Many scenes are from political meeting where Erdogan shows an awful populism. Even the trailer is bad. Anyone can watch Erdogan lies on youtube instead of watching this movie. I would rate zero if that was possible. Keep your eyes away from that. Better to watch &#x22;the interview&#x22; which is at least a good comedy. Regards RK	1
Terrible movie	None	Really awful. Don&#x27;t waste your time. if even they give you money to watch it you will regret and you will never take back that hours from your life. You will suffer and suffer. There is no subject on that movie I was lucky I didn&#x27;t pay because it was free I mean cinema was free. Can you imagine they put this movie free so. Ratings will be high. But I said even 10000 lira you will never take your hours back. I prefer to go and watch horse race or ice skating rather then this fully rubbish movie.i could sit and do nothing and still I will be more happy that hours than spend hours watching this thing. I mean who wrote this? Do they have a mind? Really? And how could you accept a role as a actor in such a ridiculous movie? Are you OK? Please tell me? Why did you do that to us? Why ?	1
awful	United Kingdom	This was the awful movie I have ever watched in my life.Please tell me how it&#x27;s possible to formally review a film titled K.O.Z.Do not watch it. It is an absolute waste of time. It was also too boring. Also I paid 10 TL it was a waste of money. Than I heard that one of Turkish Political party giving tickets to its members for free. Highly political movie . It was produced in order to support the views of a political party. Also the the actors and actresses are not acting very well. I have never seen them before. Very small budget movie.This film is sure madness; a mess of epic proportions with so many odd features, amateur features, wooden acting, and loose ends that should technically derail the picture but, for some reason, do not. This is a charismatic film. One that doesn&#x27;t allow itself to exercise more than what it is. It&#x27;s silly, never boring, and embraces badness with a sense of lax, carefree fun.	1
Worst propaganda film ever!	Sweden	This is presumably the worst propaganda film ever shot in the entire history of cinema. It gives a highly biased and re-written account of the recent political corruption scandals in Turkey; the so-called 17-25 December corruption and bribery investigations in the year of 2013. What happened in reality was that, despite obvious evidence, the barefaced government officials including the back-then prime minister (the current president of the republic) insisted to call the investigations as a coup d&#x27;etat, and produced a surrealistic storyline to cover the allegations. The film intends to prove the unbelievable and mind-blowing theses of the government. I admit, though, it would&#x27;ve been fun to watch for those who know the true storyline. Nevertheless, it is painful for me to watch it as I am a Turkish citizen and it reflects the unfortunate fate of my lovely country. The film is now free to see at certain cinemas in Turkey. Even worse is that employees of some pro-government firms are forced to go see the film.Do not ever spend your precious time to see this rubbish film! (unless you&#x27;re researching on contemporary propaganda cinema :)	1
awful movie. dont waste your time.	england	This shameful movie is about government crimes. Which in fact is a murderer and a dictator. To hide their crimes, They say some people are betrayer. they also used deceased engineers for their own propaganda. People should not watch this movie to support human rights. Did you know this movie is screened for free to the audiences by government with tax payers money? Shame on anybody who watches this movie. If you want to support dictator governments and want to waste your money you may go to this movie. Please offer your friends that they should not watch this movie because of awful scenario. This movie really awful and my advice is to share this comment with your friends.	1
Deserves to be the worst movie in the world	Turkey	If anybody is curious about this movie and wonders why there are so many negative comments about it, that&#x27;s because it&#x27;s the &#x22;WORST&#x22; movie ever, I mean it. It&#x27;s completely waste of time, don&#x27;t even spend your time to watch it if you still haven&#x27;t. This movie itself is the proof of how much Turkey resembles Nazi Germany nowadays. Since Gezi protests shown the world how &#x22;delusional&#x22; Erdogan is, his only trump card (&#x22;koz&#x22; in Turkish, I mean &#x22;K.O.Z.&#x22;) is now telling lies to people about how aggrieved and &#x22;Muslim&#x22; he is, however, at the same time, doing everything he can to utterly destroy his dissidents, even promoting civil war in order to do so. By the way, this movie would be less terrible if Necati Sasmaz (Polat Alemdar) took part in it. After all, he is able to dodge a bullet by simply crouching down...	1
The lies of a dictator	Istanbul	This movie is on Turkish Televisions everyday. Same fictional stories, same lies... Everyday we see internal mails from the employees of the close to government companies in which the managers threaten the employees to go to this movie and bring back the ticket if they want to keep their job. Turkey is passing through very rough times these days with its fascist government. This movie is trying to cover the billion dollars this government and their families stole (which are proved with many legal tapes, photos and voice recordings but darkened); trying to hide the innocent civilians they killed and trying to hide the evil leading the country. What is fortunate about this film for the Turkish people is that it is so bad. It is horrible and therefore no one will ever watch it in Turkey or abroad. It would have been a good movie with horrible lies but instead it is a bad movie with horrible lies...	1
this is not a movie. THIS IS JUST A BULLSHIT!	Turkey	WARNING: curse words This is such a shitty movie for several reasons: * This movie is produced only to lie about AKP government&#x27;s false policies, theft and murders. Such as; letting Iranian spies to occupy the intelligence agency of Turkey (MIT), hiding huge bribery (%10 of every business built in Turkey goes to the president of Turkey, RTE), and killing innocent people against their benefit - like the politician Muhsin Yazcolu, and so on.* This movie is produced with the money of AKP government. They gathered the money from the bribery %10 of everything, then pour it into a financial &#x22;pool&#x22;. They support the newspapers, TV channels and a shitty movie like this with this money.* This movie is produced by an ideology, very similar to ISIS. They attack the very foundation of Islam by so-called representing it in this way of pressing, cursing, undermining, and killing - if necessary - all the people oppose to them.* ...the more I continue, the more I have to think of their rotten system. This makes me sick already.To sum up, this is not a movie. THIS IS JUST A BULLSHIT!	1
