The worst film made by anyone, ever, at anytime	United States	There are no words that come to mind after seeing this film. Travesty, horrific, absurd, ridiculous, and mind-numbingly stupid all come to mind but none of 'em quite describe just how awful this 'film' really is. To see where everyone went wrong, let's break it down!1. It takes 45 minutes until the actual plot begins to develop. By this time, the majority of viewers have fallen asleep or have taken their own lives.2. The actor who plays Rod, Alan Bagh. He makes me miss Nicholas Cage. NO NOT THE BEES!!! AHHHH!!!3. The birds. What do they do exactly? Nothing. The birds come down and fly directly in front of the victims face. Then they die for reasons only criminally insane director James Nguyen knows. God help us.4. Read my parental advisory5. 'Hey I thought I told you to stand back. These birds are contaminated'6. What is wrong with Rod's friend? And why can't he get a good looking girlfriend?7. The dialogue. It's like watching a poorly translated foreign film. 'I like you and because you are pretty to me' 'I thank you this words they make me happy' 'Yaaaaaayyy...'8. This quote: 'Why would birds do something like that? Why would they just attack' '......I don't know'-------The good?1. Thank god for Whitney Moore in lingerie. The only believable thing about this movie was that she got a job at Victoria's Secret.And that's my review. Go see it. I guarantee you will never see a worse film. 	Plot	2
A must-see movie.  Really. Im not kidding.	Raleigh, NC, USA	Don't be fooled by the rating. You have to watch 'Birdemic' at some point.This movies outshines 'Troll 2' in every respect. It puts 'Plan 9 From Outer Space' and 'The Room' to shame. Imagine a movie that would be created solely to give film students a paper topic on how NOT to make movies. Every conceivable error has been made in making 'Birdemic.' At first, you simply won't be able to believe that the film is not a spoof. But if you read about the film and about Nguyen, and if you take a few moments to watch the additional material on the DVD, you will soon agree that this was just a misguided effort on the entire production team's part.The sound is the most outstanding example of sheer incompetence. The director clearly understood what Foley is, since the gunshots have all been added post-production, but I guess they just didn't have the time or money to dub the vast majority of the film after shooting. And it needs it. Badly.The acting is uniformly terrible. Not bad. Terrible. Alan Bragh doesn't even rise to the level of fourth grade pageants. Whitney Moore is cute as a button and is aided by a bit of camel-toe in at least one scene, but she's the best of a poor lot. All the supporting cast is 'give your financial backers a small part' bad.If you want to explain blocking, editing, framing, sound markers, continuity, reverse shots, and other film terms to your friends, this is the film to use. None of it is done correctly.While the CGI (and I use the term in only the broadest sense) birds are hilarious, my favorite scene is the 'retirement' scene. I think that the word 'retirement' is used six times in just three lines. Watch for it. It's hard to miss.BUT...it's strangely watchable. In contrast to many bad movies, it's not boring. Consider it a train wreck that you simply can't tear your eyes from. Even the boring scenes (and there really aren't that many) have some aspect (poor sound, hilariously unrealistic dialogue, odd things going on in the background) that fascinate. You'll be giggling and poking your elbow into the side of the person beside you.So, go rent it. Really. You won't regret it. 	Plot	8
Unbearable	United States	Where does one start? How can you mentally digest something like Birdemic? I am still in shock. I have seen some shitty movies in my time. But Birdemic, friends and neighbors, is the worst movie in the history of film-making, on this planet or in any other dimension for that matter. It is bad, OMG, right off the scale on the shitometer. The acting? Poor Alan Bagh, is he a living, walking wooden plank? Special effects? I swear, the birds are cardboard cutouts dangling from strings. For some reason, they explode when they hit something. Why? Why is that? Can't somebody explain, for freak's sake?Everything stinks so very gaggingly. A rhesus monkey with a camcorder poking out of its arse would do better. Beware, my friends, beware of this abomination that is Birdemic. 	Plot	1
a film for our times, for ALL times, or perhaps none at all....	United States	Sometimes there is a film that comes along that boggles the mind. You cannot believe the thing exists, but there it is, paddling its arms forward like a Special Olympics finalist (and no, this is not a joke on the Special Olympics - they're too good for Birdemic: Shock and Terror). The movie tricks a viewer like yours truly; at first, having not seen anything made by its director, the inimitable James Nguyen - he has two other films to his credit, Replica and Julie and Jack, neither seen by me (just as well, one of whom gives its highest praise as 'Ed Wood quality' on IMDb) - I wasn't sure what I was really seeing, if it was either the highest or lowest of artistic expression.The film takes place in some sunny seaside community on the California coast - as we're made PAINFULLY CLEAR in the opening from-the-car driving shots (immediately calling to mind the opening credits of Manos: The Hands of Fate) - and is about how Rod (Alan Bough) and Nathalie (Whitney Moore), who meet one day by chance, he a successful solar-panel salesman and she a Victoria's Secret model (she just made the cover!) Oh, and there's an almost inexplicable warning of a crazy-killer bird epidemic on the news, from, um, I guess it's global warming. And after about a half hour of almost *nothing* going on between these two pieces of cardboard-as-actors, the birds finally arrive.... oh yes, how they arrive.What I mean by my uncertainty of what I was seeing, it felt like a double-edged sword. I kept thinking during the film, 'either Nguyen is a total genius, crafting the most intentionally bad movie in recent memory, or he's quite possible the most sickening hack you've never wanted to meet.' It's one thing that the film was shot on a shitty camcorder. It's another that the actors appear to be non-professionals or at best from community theater (Alan Bagh is so stiff he just might make your eyes bleed; Moore is too hot to have that happen, though her talent is just as nill).But it's something else how absolutely, and surprisingly consistently, awful the film-making is. Even if you've never taken a class in proper lighting or sound or stage direction or editing, Birdemic shines so mightily in its crap-ness. Scenes start and end without a proper marker, as if the editor didn't know how to flow from one scene- one SHOT- to the next. Sound is completely mis-matched from one shot to the next. The music is the kind of synthesizer work that cranked up loud enough could drive Bin-Laden out of his cave (they even go as far as to rip-off the John Lennon song 'Imagine' for a girl character wearing a 'Imagine Peace' shirt. And the birds... oh, boy, the birds (if you need further proof, watch the trailer, do yourself a favor and get it out of the way).Now, again, experiencing this film, especially in the case I had in a theater with people perhaps anticipating its awfulness based on the trailer or the website or the claim by Nguyen to be a 'Master of the Romantic Thriller' (Trademarked. I'm not kidding), that this is perhaps just a brilliant prank, a satire of epic proportions. Certainly the 'message' part of the movie- and it's wielded with such a sledgehammer it would make Stanley Kramer look like Jim Jarmusch - is done to such a ludicrous extent, with characters appearing for walk-on scenes like a Old-man Biologist who appears to explain that the birds were caused by man's harm to the planet, or the 'Tree-Man' in the woods who has a tree-house home and finds the birds don't attack him because he's in the woods and not out on the road like the rest of stupid man-animal civilization. Not to mention the rather *listen to us now* attitude of the main characters driving their hybrid cars and seeing An Inconvenient Truth (I s**t you not, this is in the movie) and their silly solar panels. Who ever heard of that working really well? All of this could, potentially, really be just a put-on of such a magnitude that I would want to shake Nguyen's hand for pulling off such a feat. But, no, Nguyen took himself very seriously during this production, only slightly changing his tune after the fact of people seeing the film like the audience in The Producers seeing 'Springtime for Hitler' for the first time (if you need proof, look at this NY Times article quote: 'I never went to film school,' Mr. Nguyen said. 'But I did go to what you'd call the film school of Hitchcock cinema.'). I'll give him that he had persistence in getting the film out there, even showing it in bars around the Sundance film festival when he couldn't get in. The masses of sober people puking all around him should have given him a clearer idea of what he had though.Oh, don't get me wrong, Birdemic is absolutely, hysterically, historically, gloriously funny. It's a magnificent fresco of horrible CGI (the birds just float, like a screensaver), and non-existent acting, and plot that... wait, what plot? And who needs an ending that makes sense either, or shots that match up? It's so funny that I ended up feeling just a wee-bit guilty by the end. It's easy to mock this movie, like a bully on the playground mocking the kid with Cerebal Palsy. If the film isn't an intentional anti-film, then it's just a really bad Manos/Ed-Wood level movie, and all of the hilarity that ensues from it is kind of expected. It's not even worthy of Asylum DVD status. Alongside The Room, After Last Season, and Severed Ways, it's one of the real no-budget bad-movie finds of the past ten years. A must-see, for every wrong reason imaginable. 	Plot	3
The worst movie of the decade and probably the most preachy	Las Vegas	I just got done watching Birdemic for the first time, I knew it was made on 10,000 dollars and it is regarded as one of the worst movies of all time. This same day I also watched The Happening and The Crawling Eye (MST3K version) so maybe I was feeling masochistic. This movie was all around bad in every aspect. It looks like it was shot on a fairly cheap digital video camera and it's obvious that the sound was recorded from the microphone built into the camera instead of a boom mic. I know that because the sound is very awful, the actors have to be pretty close to the camera to be heard right, and there's way too much loud background noise which in post production they played a lot of public domain elevator music to drown out the background noise. The worst audio issue was when they film on the beach because the sounds of the beach are 5 times louder than the actors voices.The movie itself is very slow paced, the first half of the movie is just the main guy meeting his dream girl and building their relationship. The problem is that nobody in this movie can act and the writing was pitiful so what we get are very bland characters, not even vanilla more like tofu bland. We get no reason to care about these people in any way and to make them less likable the main guy has to talk about solar panels, hybrid cars, global warming, and even the war in Iraq as much as he can. The script is almost a love letter to Al Gore. This feels like an eternity where it goes from his boring job that he is way too enthusiastic about, his obsession with a greener world, and his dates.The second half of the movie is when the birds finally go on a rampage. Lots of 2D computer generated birds that fly around in circles and attack their prey by hovering in place while moving their wings up and down and making the same noise looped over and over the whole movie. Somehow these berserk eagles can set house on fire as well as kill people in one swoop. The couple ends up meeting another couple who lets them ride in their van, this van has everything from handguns and two AK-47 assault riffles with unlimited ammo (I'm guessing the van has Game Genie,) as well as medical supplies, and anything the plot requires. Most of the movie has these people gunning down birds and searching for survivors. The survivors they meet all have long boring monologues about how it isn't the eagles we should be afraid of, it's global warming and mankind's use of fossil fuels that is responsible for this disaster.As far as the action goes, it's about as lame as the trailer makes it look. When someone dies it's just a bird hovering in front of the person and they fall down with blood make up on them. There's also some really pointless scenes there just to raise the body count like a man who pulls a gun on them (even though they still have an assault riffle that they seem to forget about for the rest of the movie)who wants their gas, which they say cost them 100 dollars a gallon. There's a whole lot of nothing interesting going on. At least companies like Troma can take a 10 cent movie and throw in lots of nudity, over the top gore, and comedy. The people behind Birdemic have the worst CGI effects since the old Star Trek movies and long speeches about the environment. If you watch it, bring some friends and laugh at it because it works in that regard. Other than that it's Duck Hunt: The Movie. 	Music	1
A joke, the worst film ever committed to celluloid	Newcastle-upon-Tyne, England	First of all, to approach 'Birdemic: Shock and Terror' with any kind of hope of witnessing a good feature film is utter lunacy. 'Amateur' is a word a thousand times too generous for this film's description. Even given its low budget of $10,000, the majority of which seems to have gone on car fuel, the film is a joke. The acting is unspeakably bad, the 'special' effects aren't worth mentioning, the music is corny and inappropriate, and the film's editing techniques have all the marvel of a flip-book.The only way to enjoy this film is to treat it as exactly that, a joke. The above faults of the film are so glaring that the film becomes one huge joke that you can laugh along to. However, even this joke wears thin pretty quickly, and you're left feeling quite empty, as if you've been cheated out of 95 minutes of your life.Nonetheless, I am firmly convinced that it is the director James Nguyen who is having the last laugh, as he has created a film so notoriously bad that everyone wants to see it. Perhaps the joke is on us, and the director's intention was to see just how popular this film could be through its infamy. Even so, absolutely nothing can forgive how bad this film really is. It makes Battlefield Earth feel like Star Wars, and makes the special effects of 1933's King Kong look like those of Avatar. It is, quite simply, the worst film ever committed to celluloid.Watching the trailer, I actually had a decent laugh, and thought it might be worth it. But having watched the finished product, the knowledge that somebody spent $10,000 making this ugly piece of garbage and then having the audacity to call it a film is infuriating, and actually quite offensive. People were PAID to produce this. With MONEY. I still don't believe it. 	Plot	2
Birdemic - Making The Room look like an Academy Award winning film	United States	If you have any chance of seeing this movie, do everything in your power to do it. This is one of the best 'so bad it's funny' movies I have ever seen. I saw an encore presentation in L.A. and haven't seen a room of people laughing so hard in my life. It simply has everything one could want. Bad CGI (the animated birds in the movie are actually GIFs!), horrific acting, drunken cinematography, you name it, this movie had it. I typically zone out when watching a funny bad movie, the plot will lull and some things will get boring. But NOT Birdemic! This movie seems to be specifically tailored to ensure you don't get bored! Out of all the things this movie got wrong, keeping your eyes glued to the screen, they got right. Encore James! Encore! Put it this way, this movie is even worse than my sentence structure in this review. Do yourself a favor and SEE THIS MOVIE! 	Plot	3
What a joke	Baltimore, Maryland USA	If it wasn't for the fact that I was watching this dumpsterpiece movie with four friends, I would be bashing my head against something hard, and questioning the very usefulness of my life. In other words, yes, this movie was THAT bad. I've heard that Birdemic was supposed to be a very bad, very cheap rip off of Alfred Hitchcock's The Birds, but Lord almighty! Fifteen minutes into it I was starting to panic.Rod (Alan Bagh), is a Silicon Valley software designer yuppie who has just made it big. Not to mention he always walks like he wears a back brace. He's about to land a deal that will make him a millionaire, because this movie certainly won't do that. Also, he drives my dream car (a Ford Mustang), and always drives about 20 mph below the speed limit. Have some respect, dude. But anyway, Rod goes into a diner and meets Natalie (Whitney Moore) by first asking 'didn't you go to high school with me?' Natalie is also a very hot blonde aspiring model, who just happens to give her phone number to a guy like Rod, whom she barely knows. That's basically the first half of the movie, a romance blossoming. On top of that, there are stories about the ice caps melting, and swarms of eagles dying. Uh oh, does this mean Al Gore was right? One night, Rod and Natalie go to a cheap motel to have loving, but emotionless sex. All of a sudden, swarms of eagles are going around, swarming people, killing people, and blowing up houses by ramming into them like kamikaze pilots. Now, it's up to this young couple to try to find survivors, and kill birds. Soon along the way, we meet Dr. Jones (Rick Camp), who tells us that we screwed up this planet, created global warming, and now birds are killing everybody.So .where to begin with this movie? First off, it has probably the worst acting I have ever seen in a movie that's not a porno. I would say the acting was as wooden as Pinocchio, but Pinocchio actually DOES become a real boy at the end. There was no hope for this movie at all. I saw this being sold on blu ray for $25. I don't even think this movie cost 25 cents to make! Just watch the trailer, you'll know exactly what I mean. Everything about this movie sucked. The script was so badly written, it was almost a tragicomedy. At least Hitchcock's The Birds had robotic birds. Okay, the CGI buzzards that were attacking people, I think the editing machines in a public access TV studio are more sophisticated. Plus, there were a lot of underlying themes about global warming here. If these environmentalist screenwriters wanted to convince me to stop contributing to greenhouse gasses, they're going to have to do better that Birdemic. I seriously hope the filmmakers weren't taking this too seriously, because it's such a joke.I love B rate movies, and I like playing 'Mystery Science Theater 3000&#x2033; with them. But this movie made Ed Wood look like Orson Welles. Some of these lines are so awful: 'Humans need to stop playing cowboys with nature.' When people were attacked by birds, they were more or less being attack by a Windows 3.1 screensaver. I would have made a better movie when I was in middle school. What else do I have to say? Just go online and watch the trailer, that will visualize everything. I'm all for cheap filmmaking, but this is just pushing it.I leave you with this thought. I mentioned earlier that I was watching this colostomy bag of a movie with four friends, where we made sarcastic remarks. My thought is maybe this is why bad movies are made, why Birdemic was made&#x96;to bring in more social gatherings. 	Actor	2
really awful, but strangely entertaining	United States	Given that 'Birdemic' has been blasted by many critics, I think I should say something positive about it to start off with. The scenery of Half Moon Bay is agreeable, for one thing, and Ms. Moore has at least a modicum of charisma; also, anyone who appreciates a stylish blue hybrid Mustang rolling along in a stately manner gets to savor that very sight in many lingering shots. All positive aspects of this film.Less positive aspects of this film are legion, so much so that I'm reminded of my wish that IMDb.com would allow a vote on a scale from 1 to 100 rather than 1 to 10 (in which case 'Birdemic' would rate at least a 3 out of 100 for the reasons mentioned, and perhaps a 4 for meaning well (though the message about global warming comes across in a preachy and ham-handed manner)). Still, something about the profoundly amateurish quality of this film makes it feel a little unfair to rate it at all ~ in much the same way that it would feel wrong to grade a term paper on the basis of some rough notes jotted down before writing the paper rather than the paper itself. This film very much reminds me of a rough draft ~ a sort of rough visualization of what the film would have been if the producer had more resources at his disposal (thus making the upcoming larger-budget sequel all the more intriguing).Yet, I wonder if this film might have been less entertaining if it were better made. If it featured better sound, editing, writing, acting, direction and special effects, it might just be a forgettable homage to 'The Birds'; its very flaws elevate (or should I say depress?) it to a special level otherwise occupied by a few special films like 'The Room' and 'Manos: the Hands of Fate' ~ the legendary realm of films that are so bad they're good. So, giving it the benefit of the doubt as a real film and not just a rough draft, I tender my vote of 1 out of 10 and hope that other fans of this film will also give it an appropriately low vote and insure its rightful place on the Bottom 100 (once it gathers the requisite number of votes). 	Plot	3
Who needs a summary? Its Birdemic!	United States	This movie puts Puts Troll 2 to shame and rivals The Room... but I really think this one's the best of the worst... ever.To truly enjoy this heap of hilarity, get yourself 5 or 6 friends with a 12 pack each of PBR and have a MOVIE NIGHT DRINKING GAME!Rules:1. Any time the camera pans, drink. 2. Any time the audio gets botched, drink. 3. Any time Rod walks unconvincingly (that's right... you'll know it when you see it), drink. 4. Any time birds explode, drink.Of course add your own rules, but sip small or you'll be through all twelve of those cold ones in no time. Dear God this movie is fantastic. 	Plot	2
